epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1193,0.82372,0.69816,1.22899,0.82248,0.77056,0.84059,0.60258,0.992,0.76851,1.4125,0.000996313,0.000996313,0.000996313
43,1217.47,0.81069,0.68883,1.2061,0.80546,0.75266,0.82535,0.57793,0.97027,0.78616,1.41301,0.000990125,0.000990125,0.000990125
44,1241.7,0.82161,0.68648,1.20599,0.79092,0.78006,0.84756,0.59341,0.9617,0.70843,1.40799,0.000983938,0.000983938,0.000983938
45,1266.23,0.80075,0.67323,1.20093,0.83243,0.75845,0.84104,0.58517,0.97238,0.75365,1.38604,0.00097775,0.00097775,0.00097775
46,1290.52,0.80544,0.69023,1.2055,0.79786,0.82586,0.86596,0.60352,0.96002,0.73614,1.39589,0.000971562,0.000971562,0.000971562
47,1314.98,0.80658,0.66556,1.19736,0.83912,0.75381,0.84233,0.5877,0.98481,0.76295,1.42057,0.000965375,0.000965375,0.000965375
48,1339.18,0.80492,0.66628,1.20378,0.79188,0.7722,0.82303,0.57293,0.96118,0.71919,1.39212,0.000959187,0.000959187,0.000959187
49,1363.66,0.78845,0.65255,1.19229,0.8193,0.76714,0.8481,0.58521,0.97193,0.71023,1.38374,0.000953,0.000953,0.000953
50,1387.87,0.8052,0.67093,1.1996,0.82996,0.78322,0.85375,0.58574,0.98965,0.74954,1.41081,0.000946812,0.000946812,0.000946812
51,1412.29,0.78694,0.65705,1.19636,0.79821,0.83294,0.86254,0.5766,0.96814,0.70944,1.39383,0.000940625,0.000940625,0.000940625
52,1436.62,0.7859,0.63143,1.18906,0.77314,0.82028,0.84634,0.59436,0.92949,0.68827,1.35577,0.000934438,0.000934438,0.000934438
53,1461.08,0.77124,0.63231,1.17522,0.84116,0.72508,0.83324,0.59887,0.93711,0.72259,1.37507,0.00092825,0.00092825,0.00092825
54,1485.36,0.78633,0.65905,1.19005,0.83042,0.77315,0.85014,0.61306,0.91228,0.69281,1.33693,0.000922063,0.000922063,0.000922063
55,1509.82,0.77051,0.62172,1.1816,0.79696,0.7975,0.84671,0.59762,0.97314,0.73554,1.3897,0.000915875,0.000915875,0.000915875
56,1534.18,0.78311,0.63988,1.19113,0.80335,0.80193,0.85257,0.59341,0.94769,0.68957,1.38451,0.000909688,0.000909688,0.000909688
57,1558.64,0.77393,0.63165,1.17895,0.78334,0.81083,0.85742,0.61321,0.93654,0.66684,1.39165,0.0009035,0.0009035,0.0009035
58,1582.94,0.77157,0.63751,1.18043,0.77402,0.8451,0.86382,0.60394,0.93092,0.69285,1.34961,0.000897313,0.000897313,0.000897313
59,1607.42,0.76887,0.61475,1.1799,0.80814,0.75804,0.84677,0.62593,0.91397,0.64527,1.34221,0.000891125,0.000891125,0.000891125
60,1631.78,0.75415,0.6035,1.16977,0.76675,0.85908,0.87396,0.63934,0.9343,0.64301,1.36016,0.000884938,0.000884938,0.000884938
61,1656.28,0.75957,0.62843,1.17804,0.82346,0.77712,0.85627,0.59494,0.92846,0.69274,1.35437,0.00087875,0.00087875,0.00087875
62,1680.53,0.75929,0.62305,1.17889,0.73108,0.83912,0.85265,0.62163,0.94026,0.69299,1.35861,0.000872563,0.000872563,0.000872563
63,1704.97,0.76597,0.60227,1.17818,0.79787,0.81333,0.84687,0.60467,0.96839,0.73517,1.40845,0.000866375,0.000866375,0.000866375
64,1729.4,0.76423,0.61669,1.16808,0.79373,0.74684,0.84697,0.61485,0.91941,0.69061,1.3397,0.000860188,0.000860188,0.000860188
65,1753.85,0.7468,0.60624,1.17074,0.79111,0.82232,0.83552,0.6017,0.91831,0.66205,1.34918,0.000854,0.000854,0.000854
66,1778.19,0.74436,0.59086,1.15685,0.8717,0.74979,0.87109,0.61753,0.93189,0.65293,1.36668,0.000847813,0.000847813,0.000847813
67,1802.63,0.74703,0.59997,1.16045,0.85108,0.80893,0.88542,0.61047,0.93631,0.69981,1.37212,0.000841625,0.000841625,0.000841625
68,1826.85,0.74526,0.60288,1.15958,0.82773,0.77383,0.85333,0.60817,0.92782,0.67051,1.37973,0.000835438,0.000835438,0.000835438
69,1851.15,0.73996,0.59148,1.16322,0.81043,0.81406,0.85491,0.61637,0.91639,0.66841,1.36508,0.00082925,0.00082925,0.00082925
70,1875.31,0.7344,0.58743,1.15341,0.80334,0.81415,0.82955,0.60054,0.91284,0.69637,1.33731,0.000823063,0.000823063,0.000823063
71,1899.63,0.74948,0.60025,1.16605,0.80161,0.80875,0.85993,0.60619,0.91101,0.64375,1.34602,0.000816875,0.000816875,0.000816875
72,1923.88,0.74656,0.59353,1.16648,0.79304,0.79671,0.86309,0.6127,0.93174,0.65847,1.363,0.000810688,0.000810688,0.000810688
73,1948.17,0.74311,0.60056,1.16807,0.79294,0.75945,0.83757,0.60067,0.90275,0.64495,1.3249,0.0008045,0.0008045,0.0008045
74,1972.33,0.72187,0.56885,1.14776,0.83576,0.81341,0.86514,0.62413,0.89726,0.64052,1.31778,0.000798313,0.000798313,0.000798313
75,1996.66,0.72945,0.56827,1.15218,0.83059,0.78148,0.84296,0.60239,0.91199,0.67645,1.32727,0.000792125,0.000792125,0.000792125
76,2020.81,0.73252,0.56548,1.15688,0.79845,0.78368,0.84162,0.59087,0.93137,0.67821,1.35638,0.000785938,0.000785938,0.000785938
77,2045.13,0.72582,0.58259,1.15418,0.74903,0.84879,0.86423,0.61976,0.92914,0.65762,1.3562,0.00077975,0.00077975,0.00077975
78,2069.44,0.72662,0.5698,1.1478,0.82553,0.77341,0.83775,0.59461,0.93875,0.70325,1.37011,0.000773563,0.000773563,0.000773563
79,2093.76,0.7269,0.57799,1.14669,0.84059,0.79279,0.85379,0.61341,0.92304,0.63452,1.34933,0.000767375,0.000767375,0.000767375
80,2118.01,0.72783,0.56529,1.15033,0.77108,0.82046,0.85915,0.62769,0.918,0.63735,1.33212,0.000761188,0.000761188,0.000761188
81,2142.27,0.71448,0.5542,1.1415,0.82879,0.77722,0.85979,0.61499,0.93316,0.64694,1.35351,0.000755,0.000755,0.000755
82,2166.5,0.72894,0.55409,1.13751,0.76967,0.82658,0.83618,0.60626,0.93513,0.65641,1.36919,0.000748813,0.000748813,0.000748813
83,2190.85,0.71899,0.55408,1.14533,0.84505,0.81622,0.86638,0.62017,0.9205,0.62783,1.36317,0.000742625,0.000742625,0.000742625
84,2215.15,0.72641,0.57314,1.13697,0.83804,0.7674,0.85709,0.61799,0.9079,0.61215,1.32488,0.000736438,0.000736438,0.000736438
85,2239.45,0.70384,0.55025,1.13725,0.7527,0.85504,0.84154,0.60956,0.92256,0.65011,1.37516,0.00073025,0.00073025,0.00073025
86,2263.68,0.70717,0.54237,1.13679,0.77245,0.88489,0.84597,0.60439,0.92681,0.65207,1.35744,0.000724062,0.000724062,0.000724062
87,2288.01,0.71539,0.54437,1.13405,0.81757,0.76607,0.84815,0.61226,0.90118,0.66325,1.32101,0.000717875,0.000717875,0.000717875
88,2312.26,0.71598,0.54878,1.13458,0.8075,0.79728,0.84644,0.61202,0.91003,0.64842,1.33396,0.000711687,0.000711687,0.000711687
89,2336.53,0.70726,0.541,1.1313,0.82617,0.83246,0.88187,0.62801,0.90696,0.62295,1.31923,0.0007055,0.0007055,0.0007055
